Participant,Group,Item,Task,RT,Accuracy
7,L2,sock,Delayed,488,1
7,L2,wall,Delayed,793,1
10,L2,leg,Regular,1147,1
10,L2,roof,Regular,1400,0
10,L2,sock,Regular,823,1
11,L2,doll,Delayed,422,1
11,L2,heel,Delayed,428,1
12,L2,bag,Regular,1139,1
12,L2,bag,Delayed,608,1
12,L2,hat,Regular,1295,0
12,L2,hat,Delayed,426,1
12,L2,heel,Regular,1080,1
12,L2,heel,Delayed,368,1
12,L2,knife,Regular,1490,1
12,L2,knife,Delayed,505,1
12,L2,leg,Regular,856,1
12,L2,leg,Delayed,552,0
12,L2,road,Regular,964,1
12,L2,road,Delayed,753,1
12,L2,roof,Regular,1076,1
12,L2,roof,Delayed,458,1
12,L2,sock,Regular,920,0
12,L2,sock,Delayed,472,1
12,L2,tire,Regular,1424,1
12,L2,tire,Delayed,522,1
12,L2,wall,Regular,1080,1
12,L2,wall,Delayed,416,1
13,L2,coat,Regular,768,0
13,L2,coat,Delayed,356,1
13,L2,doll,Delayed,489,0
13,L2,heel,Regular,603,1
13,L2,heel,Delayed,318,0
13,L2,knife,Regular,566,0
13,L2,knife,Delayed,381,1
13,L2,leg,Regular,870,1
13,L2,road,Regular,1041,0
13,L2,road,Delayed,408,1
13,L2,roof,Regular,766,1
13,L2,sock,Regular,632,1
13,L2,sock,Delayed,1009,1
13,L2,wall,Regular,678,1
13,L2,wall,Delayed,327,1
15,L2,bag,Delayed,304,1
15,L2,coat,Delayed,405,1
15,L2,doll,Regular,872,0
15,L2,doll,Delayed,328,1
15,L2,hat,Regular,1076,1
15,L2,hat,Delayed,456,1
15,L2,heel,Delayed,574,1
15,L2,knife,Regular,966,1
15,L2,knife,Delayed,287,1
15,L2,leg,Regular,726,1
15,L2,road,Delayed,280,1
15,L2,roof,Regular,1418,1
15,L2,roof,Delayed,304,1
15,L2,sock,Regular,1193,1
15,L2,sock,Delayed,152,1
15,L2,tire,Delayed,296,1
15,L2,wall,Regular,1045,1
15,L2,wall,Delayed,301,1
16,L2,bag,Regular,1216,1
16,L2,bag,Delayed,376,1
16,L2,knife,Delayed,356,0
16,L2,leg,Regular,720,1
16,L2,leg,Delayed,408,1
16,L2,road,Delayed,1064,1
16,L2,roof,Delayed,1056,1
16,L2,sock,Delayed,200,1
16,L2,wall,Delayed,464,1
17,L2,bag,Regular,664,0
17,L2,coat,Regular,856,1
17,L2,coat,Delayed,520,1
17,L2,doll,Regular,728,1
17,L2,doll,Delayed,344,1
17,L2,heel,Regular,720,1
17,L2,heel,Delayed,1434,1
17,L2,knife,Regular,584,1
17,L2,knife,Delayed,400,1
17,L2,leg,Regular,1163,1
17,L2,leg,Delayed,344,1
17,L2,road,Regular,851,1
17,L2,road,Delayed,408,0
17,L2,roof,Regular,904,0
17,L2,roof,Delayed,480,1
17,L2,sock,Regular,600,1
17,L2,sock,Delayed,424,1
17,L2,wall,Regular,1018,0
17,L2,wall,Delayed,424,1
18,L2,coat,Delayed,432,1
18,L2,doll,Regular,1149,1
18,L2,doll,Delayed,341,1
18,L2,hat,Delayed,233,1
18,L2,heel,Regular,1440,1
18,L2,heel,Delayed,287,1
18,L2,knife,Regular,648,1
18,L2,knife,Delayed,368,1
18,L2,leg,Regular,672,0
18,L2,leg,Delayed,320,1
18,L2,road,Regular,1080,1
18,L2,road,Delayed,320,1
18,L2,roof,Regular,736,0
18,L2,roof,Delayed,364,1
18,L2,sock,Regular,576,1
18,L2,sock,Delayed,256,0
18,L2,wall,Delayed,353,1
19,L2,coat,Regular,1047,1
19,L2,coat,Delayed,345,1
19,L2,doll,Regular,630,0
19,L2,doll,Delayed,433,1
19,L2,hat,Regular,1163,1
19,L2,hat,Delayed,843,1
19,L2,heel,Regular,643,1
19,L2,heel,Delayed,944,1
19,L2,knife,Regular,580,0
19,L2,knife,Delayed,256,1
19,L2,leg,Regular,599,1
19,L2,leg,Delayed,345,1
19,L2,road,Regular,812,1
19,L2,road,Delayed,472,1
19,L2,roof,Regular,610,1
19,L2,roof,Delayed,418,1
19,L2,sock,Delayed,364,1
19,L2,wall,Regular,878,1
19,L2,wall,Delayed,381,1
20,L2,hat,Delayed,1184,1
20,L2,heel,Regular,830,1
20,L2,heel,Delayed,418,1
20,L2,knife,Regular,1149,1
20,L2,knife,Delayed,337,1
20,L2,leg,Delayed,1656,1
20,L2,sock,Regular,733,1
20,L2,sock,Delayed,226,1
20,L2,wall,Regular,888,1
21,L2,knife,Delayed,410,1
21,L2,leg,Delayed,368,1
21,L2,roof,Regular,1408,1
21,L2,sock,Delayed,336,1
22,L2,doll,Regular,944,0
22,L2,doll,Delayed,368,1
22,L2,heel,Delayed,184,1
22,L2,knife,Delayed,373,1
22,L2,leg,Delayed,340,1
22,L2,sock,Delayed,256,1
24,L2,bag,Delayed,320,1
24,L2,coat,Delayed,607,1
24,L2,doll,Regular,720,0
24,L2,doll,Delayed,244,1
24,L2,hat,Regular,881,1
24,L2,heel,Regular,784,1
24,L2,heel,Delayed,239,0
24,L2,knife,Regular,1016,0
24,L2,knife,Delayed,216,1
24,L2,leg,Regular,638,1
24,L2,leg,Delayed,185,1
24,L2,road,Regular,688,1
24,L2,road,Delayed,680,1
24,L2,roof,Regular,1224,0
24,L2,roof,Delayed,264,1
24,L2,sock,Regular,824,0
24,L2,sock,Delayed,224,1
24,L2,wall,Regular,776,0
24,L2,wall,Delayed,240,1
25,L2,bag,Regular,944,1
25,L2,bag,Delayed,360,1
25,L2,coat,Delayed,328,1
25,L2,hat,Delayed,648,1
25,L2,heel,Regular,593,0
25,L2,heel,Delayed,376,1
25,L2,knife,Regular,672,1
25,L2,knife,Delayed,292,1
25,L2,leg,Regular,728,1
25,L2,leg,Delayed,296,1
25,L2,road,Regular,824,1
25,L2,road,Delayed,801,1
25,L2,roof,Regular,560,0
25,L2,roof,Delayed,392,1
25,L2,sock,Regular,470,1
25,L2,sock,Delayed,288,1
25,L2,tire,Regular,776,1
25,L2,tire,Delayed,504,1
25,L2,wall,Regular,680,1
25,L2,wall,Delayed,408,1
26,L2,coat,Delayed,422,1
26,L2,heel,Regular,1378,0
26,L2,road,Delayed,200,1
26,L2,roof,Delayed,624,1
26,L2,sock,Delayed,408,1
27,L2,road,Regular,888,0
27,L2,road,Delayed,352,1
27,L2,sock,Regular,868,1
28,L2,coat,Regular,1387,1
28,L2,coat,Delayed,448,1
28,L2,doll,Regular,832,1
28,L2,doll,Delayed,672,1
28,L2,hat,Regular,836,1
28,L2,hat,Delayed,335,1
28,L2,heel,Delayed,400,1
28,L2,knife,Regular,856,1
28,L2,leg,Regular,829,1
28,L2,leg,Delayed,365,1
28,L2,road,Regular,1024,0
28,L2,road,Delayed,432,1
28,L2,roof,Regular,928,1
28,L2,roof,Delayed,1321,1
28,L2,sock,Regular,800,0
28,L2,sock,Delayed,416,1
28,L2,wall,Regular,1032,1
28,L2,wall,Delayed,628,1
29,L2,doll,Regular,740,1
29,L2,hat,Regular,2000,1
29,L2,hat,Delayed,428,1
29,L2,knife,Regular,712,1
29,L2,knife,Delayed,352,1
29,L2,leg,Regular,768,0
29,L2,leg,Delayed,448,1
29,L2,road,Regular,1168,1
29,L2,sock,Regular,584,1
29,L2,sock,Delayed,772,1
29,L2,tire,Regular,893,1
29,L2,tire,Delayed,677,0
30,L2,bag,Regular,732,1
30,L2,doll,Regular,688,1
30,L2,doll,Delayed,530,1
30,L2,hat,Regular,888,0
30,L2,heel,Regular,703,1
30,L2,heel,Delayed,385,1
30,L2,knife,Regular,896,0
30,L2,knife,Delayed,369,0
30,L2,leg,Regular,617,1
30,L2,leg,Delayed,393,1
30,L2,road,Regular,775,1
30,L2,road,Delayed,392,1
30,L2,roof,Regular,770,1
30,L2,roof,Delayed,448,1
30,L2,sock,Regular,612,1
30,L2,sock,Delayed,389,1
30,L2,tire,Regular,687,1
30,L2,tire,Delayed,328,1
30,L2,wall,Regular,866,1
30,L2,wall,Delayed,356,1
31,L2,heel,Delayed,346,0
31,L2,leg,Delayed,422,1
31,L2,roof,Regular,1113,0
31,L2,sock,Delayed,376,1
32,L2,bag,Delayed,568,1
32,L2,coat,Regular,1374,1
32,L2,coat,Delayed,472,1
32,L2,doll,Delayed,272,1
32,L2,hat,Regular,1400,1
32,L2,hat,Delayed,520,1
32,L2,heel,Delayed,368,1
32,L2,knife,Regular,984,1
32,L2,knife,Delayed,328,1
32,L2,leg,Regular,1208,0
32,L2,leg,Delayed,430,0
32,L2,road,Regular,992,1
32,L2,road,Delayed,392,1
32,L2,roof,Regular,1664,1
32,L2,roof,Delayed,560,1
32,L2,sock,Regular,800,1
32,L2,sock,Delayed,412,1
32,L2,tire,Regular,832,1
32,L2,tire,Delayed,552,1
32,L2,wall,Regular,1528,0
32,L2,wall,Delayed,488,1
33,L2,coat,Regular,1216,1
33,L2,coat,Delayed,462,1
33,L2,doll,Delayed,656,1
33,L2,hat,Regular,976,0
33,L2,hat,Delayed,760,1
33,L2,heel,Delayed,467,1
33,L2,knife,Regular,728,1
33,L2,knife,Delayed,576,1
33,L2,leg,Regular,776,1
33,L2,leg,Delayed,403,1
33,L2,road,Regular,984,1
33,L2,road,Delayed,370,1
33,L2,roof,Regular,808,1
33,L2,roof,Delayed,744,1
33,L2,sock,Regular,552,1
33,L2,sock,Delayed,303,1
33,L2,wall,Regular,1056,1
33,L2,wall,Delayed,549,1
34,L2,bag,Delayed,293,1
34,L2,doll,Delayed,240,1
34,L2,hat,Delayed,339,1
34,L2,heel,Regular,1326,1
34,L2,heel,Delayed,344,1
34,L2,knife,Regular,736,1
34,L2,knife,Delayed,351,1
34,L2,road,Regular,784,1
34,L2,road,Delayed,104,1
34,L2,roof,Regular,859,1
34,L2,roof,Delayed,285,1
34,L2,sock,Regular,720,0
34,L2,sock,Delayed,326,1
34,L2,tire,Delayed,497,1
34,L2,wall,Regular,1032,1
34,L2,wall,Delayed,288,0
35,L2,coat,Regular,1640,1
35,L2,doll,Delayed,432,1
35,L2,heel,Regular,1176,1
35,L2,knife,Regular,832,0
35,L2,knife,Delayed,976,1
35,L2,leg,Regular,1136,1
35,L2,leg,Delayed,414,1
35,L2,road,Regular,976,1
35,L2,roof,Regular,960,0
35,L2,roof,Delayed,410,1
35,L2,sock,Regular,768,1
35,L2,sock,Delayed,312,1
35,L2,tire,Delayed,789,1
35,L2,wall,Delayed,456,1
36,L2,coat,Regular,1216,1
36,L2,doll,Delayed,632,1
36,L2,hat,Regular,1064,1
36,L2,heel,Regular,1000,1
36,L2,heel,Delayed,343,1
36,L2,knife,Delayed,488,1
36,L2,leg,Regular,1136,1
36,L2,leg,Delayed,496,1
36,L2,roof,Regular,1392,1
36,L2,roof,Delayed,432,1
36,L2,sock,Regular,591,1
36,L2,sock,Delayed,279,1
36,L2,wall,Regular,1432,1
36,L2,wall,Delayed,384,1
37,L2,bag,Regular,1192,1
37,L2,bag,Delayed,666,1
37,L2,doll,Regular,672,0
37,L2,doll,Delayed,448,1
37,L2,hat,Regular,979,1
37,L2,hat,Delayed,403,0
37,L2,heel,Regular,608,1
37,L2,heel,Delayed,444,1
37,L2,knife,Regular,520,1
37,L2,knife,Delayed,328,1
37,L2,leg,Regular,647,1
37,L2,leg,Delayed,424,1
37,L2,road,Regular,824,1
37,L2,road,Delayed,456,1
37,L2,roof,Regular,824,0
37,L2,roof,Delayed,472,1
37,L2,sock,Regular,528,1
37,L2,sock,Delayed,368,1
37,L2,tire,Regular,672,1
37,L2,tire,Delayed,496,1
37,L2,wall,Regular,776,1
37,L2,wall,Delayed,536,1
38,L2,bag,Delayed,128,1
38,L2,coat,Delayed,424,1
38,L2,doll,Delayed,496,1
38,L2,heel,Regular,1280,0
38,L2,heel,Delayed,640,1
38,L2,knife,Regular,927,1
38,L2,knife,Delayed,736,1
38,L2,leg,Regular,912,1
38,L2,leg,Delayed,408,1
38,L2,road,Regular,912,1
38,L2,roof,Regular,795,1
38,L2,roof,Delayed,504,1
38,L2,sock,Regular,1040,1
38,L2,sock,Delayed,440,1
38,L2,tire,Regular,847,1
38,L2,tire,Delayed,544,1
39,L2,coat,Delayed,435,1
39,L2,doll,Delayed,328,1
39,L2,hat,Delayed,945,1
39,L2,heel,Delayed,612,1
39,L2,leg,Regular,1032,1
39,L2,leg,Delayed,376,1
39,L2,road,Regular,949,0
39,L2,road,Delayed,472,1
39,L2,sock,Delayed,203,1
40,L2,doll,Regular,992,1
40,L2,doll,Delayed,400,1
40,L2,hat,Delayed,370,0
40,L2,heel,Regular,1026,1
40,L2,heel,Delayed,664,1
40,L2,knife,Regular,784,1
40,L2,knife,Delayed,376,1
40,L2,leg,Regular,1008,1
40,L2,leg,Delayed,480,1
40,L2,roof,Delayed,664,1
40,L2,sock,Regular,720,1
40,L2,sock,Delayed,400,1
40,L2,tire,Regular,960,0
40,L2,tire,Delayed,374,1
40,L2,wall,Regular,848,1
40,L2,wall,Delayed,439,1
41,L2,bag,Delayed,501,1
41,L2,doll,Delayed,362,1
41,L2,heel,Regular,710,1
41,L2,heel,Delayed,424,1
41,L2,knife,Regular,856,1
41,L2,knife,Delayed,201,1
41,L2,leg,Regular,752,1
41,L2,road,Regular,792,1
41,L2,roof,Regular,1024,1
41,L2,sock,Regular,648,0
41,L2,sock,Delayed,632,1
41,L2,wall,Regular,904,1
41,L2,wall,Delayed,301,1
42,L2,bag,Delayed,200,1
42,L2,hat,Regular,1361,1
42,L2,hat,Delayed,226,1
42,L2,heel,Regular,668,1
42,L2,heel,Delayed,562,1
42,L2,knife,Delayed,331,1
42,L2,leg,Regular,822,1
42,L2,leg,Delayed,228,1
42,L2,roof,Delayed,328,1
42,L2,sock,Regular,526,0
42,L2,sock,Delayed,237,1
42,L2,wall,Regular,1078,1
43,L2,coat,Regular,1032,1
43,L2,doll,Regular,784,1
43,L2,doll,Delayed,412,1
43,L2,heel,Regular,616,0
43,L2,heel,Delayed,336,1
43,L2,knife,Regular,522,1
43,L2,knife,Delayed,1000,1
43,L2,leg,Regular,703,0
43,L2,leg,Delayed,240,1
43,L2,road,Regular,736,1
43,L2,roof,Regular,656,0
43,L2,sock,Regular,608,1
43,L2,sock,Delayed,277,0
44,L2,coat,Regular,1066,1
44,L2,doll,Regular,856,1
44,L2,doll,Delayed,464,1
44,L2,hat,Regular,903,1
44,L2,hat,Delayed,395,1
44,L2,heel,Delayed,248,1
44,L2,knife,Regular,668,1
44,L2,leg,Regular,688,0
44,L2,leg,Delayed,297,1
44,L2,road,Regular,734,1
44,L2,roof,Regular,828,1
44,L2,sock,Regular,632,0
44,L2,wall,Regular,992,1
44,L2,wall,Delayed,488,1
46,L2,bag,Delayed,472,1
46,L2,coat,Delayed,1292,1
46,L2,doll,Regular,1128,1
46,L2,doll,Delayed,488,1
46,L2,hat,Delayed,431,1
46,L2,heel,Delayed,541,1
46,L2,knife,Regular,861,1
46,L2,knife,Delayed,384,1
46,L2,leg,Delayed,425,1
46,L2,road,Regular,936,1
46,L2,road,Delayed,440,1
46,L2,roof,Delayed,408,1
46,L2,sock,Delayed,412,1
46,L2,wall,Delayed,432,1
48,L2,bag,Regular,1536,0
48,L2,bag,Delayed,640,1
48,L2,doll,Delayed,766,1
48,L2,hat,Regular,722,1
48,L2,hat,Delayed,665,1
48,L2,knife,Regular,697,1
48,L2,knife,Delayed,758,1
48,L2,leg,Delayed,846,1
48,L2,road,Regular,896,1
48,L2,road,Delayed,846,1
48,L2,roof,Regular,1168,0
48,L2,roof,Delayed,776,1
48,L2,sock,Regular,712,1
48,L2,sock,Delayed,716,1
48,L2,wall,Delayed,788,1
49,L2,coat,Regular,784,1
49,L2,coat,Delayed,1056,1
49,L2,doll,Regular,772,1
49,L2,doll,Delayed,574,1
49,L2,road,Regular,1159,1
49,L2,road,Delayed,193,1
49,L2,roof,Regular,1064,1
49,L2,sock,Regular,859,0
49,L2,wall,Regular,640,1
50,L2,coat,Regular,1169,1
50,L2,coat,Delayed,292,1
50,L2,doll,Regular,750,1
50,L2,doll,Delayed,326,1
50,L2,hat,Regular,779,0
50,L2,hat,Delayed,473,1
50,L2,heel,Regular,812,1
50,L2,heel,Delayed,324,1
50,L2,knife,Regular,777,1
50,L2,knife,Delayed,351,1
50,L2,leg,Regular,856,0
50,L2,road,Regular,888,1
50,L2,road,Delayed,511,1
50,L2,roof,Regular,824,1
50,L2,roof,Delayed,488,0
50,L2,sock,Regular,795,1
50,L2,sock,Delayed,216,1
50,L2,tire,Regular,1284,1
50,L2,tire,Delayed,280,1
50,L2,wall,Delayed,255,1
51,L2,coat,Regular,1200,1
51,L2,coat,Delayed,904,0
51,L2,doll,Regular,1240,1
51,L2,doll,Delayed,608,0
51,L2,heel,Regular,1413,1
51,L2,knife,Regular,824,1
51,L2,knife,Delayed,568,1
51,L2,leg,Regular,824,0
51,L2,leg,Delayed,528,1
51,L2,road,Regular,848,1
51,L2,road,Delayed,736,1
51,L2,roof,Regular,993,1
51,L2,roof,Delayed,624,1
51,L2,sock,Regular,1041,1
51,L2,wall,Regular,1032,1
51,L2,wall,Delayed,752,1
52,L1,coat,Regular,1353,1
52,L1,doll,Regular,699,1
52,L1,doll,Delayed,585,0
52,L1,heel,Regular,709,1
52,L1,heel,Delayed,520,1
52,L1,knife,Regular,657,1
52,L1,knife,Delayed,242,1
52,L1,leg,Regular,1077,1
52,L1,leg,Delayed,417,1
52,L1,road,Regular,1285,1
52,L1,road,Delayed,468,1
52,L1,roof,Regular,1131,1
52,L1,roof,Delayed,461,1
52,L1,sock,Regular,569,1
52,L1,sock,Delayed,343,1
52,L1,tire,Delayed,676,1
52,L1,wall,Regular,856,1
52,L1,wall,Delayed,250,1
53,L1,bag,Regular,770,1
53,L1,bag,Delayed,390,1
53,L1,doll,Regular,702,1
53,L1,doll,Delayed,513,1
53,L1,hat,Regular,1213,1
53,L1,hat,Delayed,250,1
53,L1,heel,Regular,668,0
53,L1,heel,Delayed,315,1
53,L1,knife,Regular,845,1
53,L1,knife,Delayed,364,1
53,L1,leg,Regular,112,1
53,L1,leg,Delayed,520,1
53,L1,road,Regular,651,1
53,L1,road,Delayed,281,1
53,L1,roof,Regular,911,1
53,L1,roof,Delayed,391,1
53,L1,sock,Regular,464,1
53,L1,sock,Delayed,469,1
53,L1,tire,Regular,714,1
53,L1,tire,Delayed,522,1
54,L1,bag,Delayed,265,1
54,L1,coat,Regular,876,1
54,L1,coat,Delayed,1094,1
54,L1,doll,Regular,611,1
54,L1,doll,Delayed,373,1
54,L1,hat,Regular,780,1
54,L1,heel,Regular,943,1
54,L1,heel,Delayed,445,1
54,L1,knife,Regular,393,1
54,L1,knife,Delayed,590,1
54,L1,leg,Regular,1322,1
54,L1,leg,Delayed,660,1
54,L1,road,Regular,776,1
54,L1,road,Delayed,530,1
54,L1,roof,Delayed,602,1
54,L1,sock,Regular,174,1
54,L1,sock,Delayed,545,1
54,L1,tire,Regular,514,1
54,L1,tire,Delayed,596,1
54,L1,wall,Regular,243,1
54,L1,wall,Delayed,442,1
55,L1,bag,Regular,1405,1
55,L1,coat,Regular,773,1
55,L1,doll,Regular,776,0
55,L1,heel,Regular,113,1
55,L1,heel,Delayed,649,1
55,L1,knife,Regular,1165,1
55,L1,knife,Delayed,521,1
55,L1,road,Regular,938,1
55,L1,road,Delayed,233,1
55,L1,roof,Regular,247,1
55,L1,roof,Delayed,678,1
55,L1,sock,Regular,539,1
55,L1,sock,Delayed,809,0
55,L1,wall,Regular,757,1
55,L1,wall,Delayed,200,1
56,L1,bag,Regular,906,1
56,L1,bag,Delayed,522,1
56,L1,coat,Regular,1143,1
56,L1,coat,Delayed,439,1
56,L1,doll,Regular,357,1
56,L1,hat,Regular,980,1
56,L1,hat,Delayed,663,1
56,L1,heel,Regular,937,1
56,L1,heel,Delayed,491,1
56,L1,knife,Regular,574,1
56,L1,leg,Regular,581,1
56,L1,leg,Delayed,583,1
56,L1,road,Regular,937,1
56,L1,road,Delayed,582,1
56,L1,sock,Regular,562,1
56,L1,sock,Delayed,349,1
56,L1,tire,Regular,705,1
56,L1,tire,Delayed,426,1
56,L1,wall,Regular,578,0
56,L1,wall,Delayed,1107,0
57,L1,bag,Regular,1191,1
57,L1,bag,Delayed,370,1
57,L1,doll,Regular,1350,1
57,L1,doll,Delayed,509,1
57,L1,heel,Regular,987,1
57,L1,heel,Delayed,338,1
57,L1,knife,Regular,695,1
57,L1,knife,Delayed,173,1
57,L1,leg,Regular,1009,1
57,L1,leg,Delayed,478,1
57,L1,road,Regular,912,1
57,L1,road,Delayed,503,1
57,L1,roof,Regular,908,1
57,L1,roof,Delayed,263,1
57,L1,sock,Regular,726,1
57,L1,sock,Delayed,421,1
57,L1,tire,Regular,937,1
57,L1,tire,Delayed,312,1
57,L1,wall,Regular,841,1
57,L1,wall,Delayed,499,1
58,L1,bag,Regular,1121,1
58,L1,coat,Regular,586,1
58,L1,coat,Delayed,610,1
58,L1,doll,Regular,1070,1
58,L1,doll,Delayed,796,1
58,L1,hat,Regular,771,1
58,L1,heel,Delayed,650,1
58,L1,knife,Regular,561,0
58,L1,knife,Delayed,363,1
58,L1,leg,Regular,1129,1
58,L1,leg,Delayed,447,1
58,L1,road,Regular,878,1
58,L1,roof,Regular,766,1
58,L1,roof,Delayed,450,1
58,L1,sock,Regular,471,1
58,L1,sock,Delayed,710,1
58,L1,wall,Regular,919,1
58,L1,wall,Delayed,711,1
59,L1,bag,Regular,889,1
59,L1,coat,Regular,791,1
59,L1,hat,Regular,448,1
59,L1,hat,Delayed,399,1
59,L1,heel,Regular,756,1
59,L1,heel,Delayed,252,1
59,L1,knife,Regular,739,0
59,L1,knife,Delayed,251,1
59,L1,road,Regular,714,1
59,L1,road,Delayed,278,1
59,L1,roof,Regular,677,1
59,L1,roof,Delayed,187,1
59,L1,sock,Regular,533,1
59,L1,sock,Delayed,175,1
59,L1,wall,Regular,715,1
59,L1,wall,Delayed,234,1
60,L1,bag,Regular,1036,0
60,L1,bag,Delayed,486,1
60,L1,coat,Regular,1405,1
60,L1,coat,Delayed,325,1
60,L1,doll,Delayed,421,1
60,L1,hat,Regular,679,1
60,L1,hat,Delayed,436,1
60,L1,heel,Delayed,432,1
60,L1,knife,Regular,654,1
60,L1,knife,Delayed,310,1
60,L1,road,Regular,760,1
60,L1,road,Delayed,429,1
60,L1,roof,Regular,868,0
60,L1,roof,Delayed,360,1
60,L1,sock,Regular,536,1
60,L1,sock,Delayed,202,1
60,L1,wall,Regular,706,0
60,L1,wall,Delayed,332,1
61,L1,bag,Regular,744,1
61,L1,bag,Delayed,695,1
61,L1,heel,Delayed,573,1
61,L1,knife,Regular,831,1
61,L1,knife,Delayed,411,1
61,L1,leg,Regular,1417,1
61,L1,leg,Delayed,744,1
61,L1,road,Regular,905,1
61,L1,road,Delayed,589,1
61,L1,roof,Regular,695,1
61,L1,roof,Delayed,533,1
61,L1,sock,Regular,677,1
61,L1,sock,Delayed,379,1
61,L1,wall,Regular,691,1
61,L1,wall,Delayed,492,1
62,L1,bag,Regular,951,1
62,L1,bag,Delayed,132,1
62,L1,coat,Delayed,393,1
62,L1,doll,Regular,874,1
62,L1,doll,Delayed,367,1
62,L1,hat,Regular,627,1
62,L1,hat,Delayed,407,1
62,L1,heel,Regular,763,1
62,L1,heel,Delayed,335,1
62,L1,knife,Regular,649,1
62,L1,knife,Delayed,328,1
62,L1,leg,Regular,661,1
62,L1,leg,Delayed,386,1
62,L1,road,Regular,755,1
62,L1,road,Delayed,356,1
62,L1,roof,Regular,781,1
62,L1,roof,Delayed,258,1
62,L1,sock,Regular,533,1
62,L1,sock,Delayed,233,1
62,L1,tire,Regular,636,1
62,L1,tire,Delayed,334,1
62,L1,wall,Regular,866,0
62,L1,wall,Delayed,350,1
63,L1,bag,Regular,1486,0
63,L1,bag,Delayed,709,1
63,L1,doll,Regular,1196,1
63,L1,doll,Delayed,647,1
63,L1,hat,Regular,1250,1
63,L1,hat,Delayed,512,1
63,L1,knife,Regular,791,0
63,L1,knife,Delayed,373,1
63,L1,leg,Regular,660,0
63,L1,leg,Delayed,555,1
63,L1,road,Regular,823,1
63,L1,road,Delayed,447,1
63,L1,roof,Regular,860,1
63,L1,roof,Delayed,608,1
63,L1,sock,Regular,675,1
63,L1,sock,Delayed,382,1
63,L1,tire,Regular,998,1
63,L1,tire,Delayed,637,1
63,L1,wall,Regular,811,1
63,L1,wall,Delayed,411,1
64,L1,doll,Regular,1264,1
64,L1,knife,Regular,543,1
64,L1,knife,Delayed,306,1
64,L1,leg,Regular,439,1
64,L1,leg,Delayed,342,1
64,L1,road,Regular,571,1
64,L1,road,Delayed,374,1
64,L1,roof,Regular,516,1
64,L1,roof,Delayed,357,1
64,L1,sock,Regular,472,1
64,L1,sock,Delayed,276,1
64,L1,tire,Regular,582,1
64,L1,tire,Delayed,261,1
64,L1,wall,Regular,654,1
64,L1,wall,Delayed,398,1
65,L1,bag,Regular,673,1
65,L1,bag,Delayed,391,1
65,L1,doll,Regular,670,0
65,L1,doll,Delayed,520,1
65,L1,hat,Regular,946,1
65,L1,hat,Delayed,377,1
65,L1,heel,Regular,649,1
65,L1,heel,Delayed,503,1
65,L1,knife,Regular,527,1
65,L1,knife,Delayed,386,1
65,L1,leg,Regular,567,1
65,L1,leg,Delayed,399,1
65,L1,road,Regular,704,1
65,L1,road,Delayed,443,1
65,L1,roof,Regular,682,1
65,L1,roof,Delayed,349,1
65,L1,sock,Regular,489,1
65,L1,sock,Delayed,381,1
65,L1,tire,Regular,600,1
65,L1,tire,Delayed,381,1
65,L1,wall,Regular,698,1
65,L1,wall,Delayed,374,1
66,L1,bag,Regular,812,0
66,L1,bag,Delayed,305,1
66,L1,coat,Regular,919,1
66,L1,doll,Regular,624,1
66,L1,doll,Delayed,319,1
66,L1,heel,Regular,549,1
66,L1,knife,Regular,512,1
